,date,arrondissement,auteur,etoile,education,securite,loisir,sante,transport,qualite de vie,culture,commerce,environnement,commentaires
10,04-06-2014,1e,Driss,8.19,6,8,5,5,10,9,10,10,5,"e commentaire laconique et stupide de Ash n'apporte rien à la connaissance de ce magnifique arrondissement central. Encore une qui n'habite pas Paris.
Comme dans beaucoup d'arrondissements parisiens, l'ambiance et l'esprit varie incroyablement d'un secteur à l'autre. En partant de l'est marqué par le boulevard Sébastopol et en remontant progressivement vers l'extrême ouest souligné par la place de la Concorde et la cour des comptes, vous traversez des mondes radicalement différents.
L'est : le quartier de Châtelet-les Halles allant du boulevard Sébastopol jusqu'à la rue du Pont Neuf + les Halles en pleine reconstruction. Si l'endroit ne brille pas par son taux de fréquentation important de racailles de plusieurs banlieues difficiles (après-midi et soirs et surtout le week-end), il brille par la beauté de son architecture : n'hésitez pas à vous perdre dans le dédale de ces belles rues chargées d'histoire dont les noms poétiques ont été conservés. Au sud des Halles rue des Innocents avec sa fontaine renaissance (la seule qui reste à paris), rue de la Ferronnerie où Henri IV a été assassiné, rue de l'Arbre Sec où Molière enfin venait chatouiller les pieds des pendus, les 3 belles rues parallèles rue Sauval/ Rue Vauvilliers (ne manquez pas le restaurant La Poule au Pot)/ Rue des Prouvaires. Au nord des Halles, ne ratez pas la sublime église Sainte-Eustache, les très belles rues du Jour et son magasin Agnès B et non loin d'ici le fameux restaurant Le Pied de Cochon, les très animées rue semi-piétonnes Montmartre et Montorgeuil qui se prolongent jusque dans le 2ème arrondissement.
Au sud de l'arrondissement, le quartier Saint-Germain l'Auxerrois avec une partie de l'île de la Cité à ne pas rater (notamment la sainte Chapelle et la Conciergerie); longez le long des quais pour voir tous ces brocanteurs qui sortent de volets en bois vert cadenassés toutes sortes de livres; plusieurs animaleries le long du quai de la Mégisserie, bien que je ne sois pas fan de voir tous ces animaux enfermés dans des cages et vendus comme des objets. Toujours dans ce quartier ne ratez pas la belle église Saint Germain l'Auxerrois depuis laquelle les catholiques avaient fait sonner le tocsin en 1572 pour ouvrir le massacre de la Saint-Barthélémy.
Le quartier du Palais-Royal (on monte d'un degré dans le luxe). Ce quartier est une pure merveille. Le jardin du Palais Royal bien sûr chargé d'histoire (avec ses fameux résidents comme Cocteur et l'écrivain Colette) et son restaurant le Grand Véfour; la belle galerie Véro Dodat; la Comédie française et sa jolie place; le superbe brunch à ne pas Louper le Claus rue Jean-Jacques Rousseau. Bien sûr inutile de présenter le Louvre.
Enfin le quartier Vendôme, monde du luxe avec ses palaces comme le Meurice, le Ritz (le bar Hemingway est à faire : le chef barman Colin Field élu meilleur barman au monde prépare des cocktails grandioses) situé place Vendôme avec sa belle colonne de la victoire et toutes ces joailleries qui l'entourent comme un écrin; le Mandarin Oriental récemment ouvert (sa somptueuse cour intérieure est un bonheur lors des beaux jours). Ne ratez pas le meilleur tea room de Paris ANgélina rue de Rivoli (le chocolat chaud y est tout est aussi célèbre que son décor et son service soigné). Si vous voulez marcher sur les traces de Coco Chanel rendez-vous rue de Cambon. La place du marché Saint-Honoré est superbement animée les soirs avec ses petites terrasses très sympa. 
En ce qui concerne l'insécurité soulignée par l'atrophiée du bulbe, elle existe surtout dans ses fantasmes. Certes, le forum des Halles, une partie de la rue Lescot, la rue Pierre Berger et la fontaine des innocents, la rue des Bourdonnais et la rue Saint-Denis gâchent un peu notre joie d'être dans un si bel arrondissement : cris, langage d'orang-outang, moeurs mal dégrossies... Mais la présence des CRS et de leurs fourgons stationnés rue Pierre berger, le commissariat, la présence de la BAC y est tellement importante qu'au moindre problème, tous ces agents débarquent rapidement. Mon amie qui est une femme s'y promène régulièrement la nuit et il ne lui est rien arrivée. Simplement faire attention aux voleurs discrets et qu'on trouve dans toutes les capitales."
11,02-05-2014,1e,ash,5.13,5,3,8,5,10,4,8,7,4,nimé
12,02-12-2021,2e,mellopu,8.63,6,9,6,9,9,9,10,10,7,"vec le nouveau parc des Halles,  la nouvelle poste de la rue du Louvre et le sublime musée Pinault à la Bourse de commerce,  le sud du 2e est métamorphosé. La rue Saint-Denis et le Nord se gentrifient aussi. Ambiance très très agréable,  avec population jeune (beaucoup de bureaux de start-up donc terrasses très animées) et- globalement - respectueuse."
13,19-12-2020,2e,Riri,7.69,6,8,6,7,9,8,9,9,5,"rrondissement hyper central, animé vivant, de nombreux restaurants bars hyper fun branchés comme traditionnels. On peut tout faire à pied et métro ligne 4 8 9 3.
Quand on se fait connaître par les commerçants et restaurateurs et qu'on est du quartier (plus qu'un simple touriste) on est tout de suite bien accueillie et on vit une bonne vie de quartier.
Beaucoup de musées, passages, le sentier qui bouge la rue saint Denis qui devient hype. Rue Montorgueuil incontournable. Rue des petits carreaux, bref plein d'endroits top et quartier ouvert au monde."
14,21-07-2020,2e,CS92250,3.94,5,7,1,5,8,3,7,5,1,"entral et très bien desservi pas les transports en commun.

A part ça... plein de commerces pour touristes."
15,06-05-2020,2e,Oliv94,5.88,6,7,4,7,9,5,9,10,2,"'étais content de m'y installer.
Au bout de 2 ans voici les points positifs du plus petit arrondissement de Paris.
Clairement ce sont les transports. Pas besoin de voiture, vous pourrez aisément vous déplacer grâce aux lignes de métros, bus et RER qui vous amèneront aux aéroports par exemple.
Autre point positif : les commerces et activités culturelles. Entre les petits commerces, les restaurants les grandes enseignes, les cinémas et autre vous serez conquis.
Une sécurité maîtrisée notamment dans l'ouest de l'arrondissement. La rue Saint Denis qui n'avait pas réputation glorieuse est désormais assez similaire à la rue Montorgueil, ce qui n'est pas négligeable.
Quelques pépites : les galeries méritent le détour, la rue Montmartre agréable tout comme les rues perpendiculaires à la rue Montorgueil."
16,29-10-2019,2e,Dudussse,5.5,6,4,8,8,8,5,8,4,2,"i vous aimez la vie urbaine et son activité vous serez servis. Un ""arrondissement-restaurant"" à ciel ouvert.
En terme de transport vous avez plusieurs lignes de métro : 8-9-3-4 et de RER : A, ainsi que de bus.
Arrondissement très culturel et vivant... Une cantine à l'école primaire très axée sur des produits biologiques.
Des clubs de sports à proximité.

En gros la proximité....."
17,28-10-2019,2e,Rose,2.38,4,2,2,4,7,0,10,9,0,"entral, animé, historique."
18,16-09-2019,2e,Cedsen,5.19,8,8,2,8,10,4,8,5,2,entral est à peu près le seul intérêt de cet arrondissement dans lequel je vis depuis 9 ans.
19,30-12-2018,2e,Reb,6.19,4,5,2,7,10,6,10,10,3,"ommerces accessibles , transports à 3 minutes , emplacement idéal pour tout faire à pied , restaurants de tous les choix."
20,11-10-2018,2e,Ricath,8.38,8,8,9,10,10,8,10,10,5,"uartier très central, on est proche de tout : commerces, transports, cinémas, Louvre et Beaubourg, etc. Contrairement à certains commentaires, je ne trouve pas que la prostitution de la rue Saint-Denis soit gênante. D'ailleurs il y en a de moins en moins, et la rue Saint-Denis tend à ressembler à Montorgueuil."
21,19-07-2018,2e,Noémie De V,2.06,1,1,4,5,2,1,7,5,0,entre pompidou - montorgueil - commerces - restaurants quartier vivant.
22,18-07-2018,2e,Mgt16,7.13,7,6,8,7,9,7,9,9,3,"ontorgueil, Opéra, transports, clubs, nombreux restaus et commerces. Globalement je recommande ce quartier jeune et dynamique, parfait pour quelqu'un sortant beaucoup !"
23,30-08-2017,2e,Lala,3.0,2,3,5,6,1,2,7,8,0,"ontorgueil, Vivienne agréables, bars, cinéma Le Grand rex, restaurants."
24,28-05-2017,2e,liloudeparls,9.06,10,10,10,8,9,9,8,8,10,"ue montorgueil, central, transport, quartier vivienne,
la bourse. de nombreux et bons restaurant... le grand rex juste à cote... un quartier qui bouge avec la présence de plusieurs bars et boîtes de nuit. niveau culture le louvre et le centre georges Pompidou sont à 2 pas ."
25,27-05-2016,2e,Parisian,8.5,7,6,5,7,10,10,6,10,5,"entrale, beaucoup de commerces de ""bouche"".
Rue montorgueil très sympa, Quartier Vivienne également !
Charme et ambiance Hypster :)
Nombreux restaurants et magasins."
26,30-10-2015,2e,Paris2 arrh,3.06,0,6,0,6,8,2,3,10,0,"entral, beaucoup de moyens de transport"
27,23-10-2015,2e,Dadou,3.81,7,3,5,7,7,2,7,8,1,"harme de certaines rues, position centrale dans Paris, commerces de proximité, mairie sensibilisée au végétarisme (repas végétarien proposé dans les écoles)"
28,03-07-2015,2e,misterdaxav,7.44,7,7,5,7,9,8,8,9,3,"osition centrale dans Paris à proximité des endroits essentiels et extrêmement bien desservie par le réseau de transports.
Quartier très vivant avec théâtres, cinéma (Rex), salles de concerts, bars...
Beaucoup de restaurants
Beaucoup de commerces/services de proximité
Mixité sociale réussie"
29,08-11-2014,2e,Marco,7.75,5,8,5,9,10,8,10,8,5,"etit arrondissement où il fait bon vivre, au centre de paris, proximité des cinémas, théâtres et mêmes opéras (entre garnier et Bastille), très bonne vie nocturne. Certaines rues sont piétonnes le dimanche."
30,10-07-2014,2e,poup,8.69,5,10,3,9,9,10,10,8,5,gréable
31,19-04-2014,2e,driss,6.94,3,7,4,6,9,8,4,10,4,"lus petit arrondissement de Paris. Le 2ème arrondissement est bicéphale. Les quartiers de Montorgueil et de Vivienne-Gaillon sont de pures merveilles. Il suffit de fréquenter la très chic rue Montorgueil (soeur jumelle de la rue clerc dans le 7ème mais avec un supplément d'âme en plus) ainsi que la partie piétonne de Montmartre, rue Mandar, rue Tiquetonne, rue Greneta. Leurs fromageries, poissonneries, boulangeries (hum la fameuse boulangerie/pâtisserie Stöhrer, les nombreux bars, restaurants. Plus à l'ouest les belles rues Vivienne avec sa somptueuse galerie, rue de la banque, la somptueuse place des petits pères et le charmant quartier Sainte-Anne sans oublier la belle bibliothèque Richelieu. La rue de la Paix, malgré son clinquant, a un réel charme. EN moins spectaculaire, le quartier du Sentier qui se boboïse et qui offre un côté petit village avec ses beaux immeubles au tracé irrégulier. 
Malgré le laxisme d'un maire qui se prononce pour les salles de shoot et qui invitent des enfants à aller voir des expositions en mairie sur l'excision (représentations de vagins béants), le commissariat est dirigé par un commissaire très efficace, compétent et à l'écoute des riverains."
32,26-07-2021,3e,Zorro75003,5.88,8,5,2,9,9,5,10,8,3,"B : J'habite dans ce quartier depuis plus de 10 ans

Le principal atout est la beauté des lieux et l'offre culturelle.
Difficile de compter les musées sans en oublier : Carnavalet,  Picasso,  Cognac Jay,  musée de la chasse,  etc.
Peu de constructions récentes qui défigurent la vue.
Plutôt assez facile de trouver des médecins et spécialistes + imagerie / labos à proximité
Nombreux commerces et restos rue de Bretagne,  même si le nombre de chocolatiers / confiseurs de luxe n'a aucun sens."
33,12-06-2021,3e,Jeebee,9.38,8,8,8,9,10,10,10,10,7,"ne petit arrondissement village où tout est à portée de main,  en 5 minutes à pied maximum.
Que ce soit au niveau des sorties (restaurants,  bars) de la culture (galeries d'arts,  architecture...) Ou encore de la vie pratique (commerces,  santé) tout est fait pour faciliter la vie."
34,28-04-2021,3e,florence6427,8.06,9,8,1,6,10,9,10,7,6,"n arr. au patrimoine architectural exceptionnel : de nombreux musées (Picasso,  Carnavalet,  Judaïsme,  Arts et Métiers,  musée de la chasse,  Les Archives Nationales etc),  des hôtels particuliers,  de très beaux jardins (certes un peu petits)...bref,  c'est très beau.
L'enseignement est de qualité,  les écoles publiques ne sont pas surchargées et d'un très bon niveau (20/22 enfants par classe en moyenne en primaire),  beaucoup d'endroits pour sortir (restaurants,  bars),  une population sympa,  non blasée,  assez mixée socialement.
L'arrondissement est central,  pratique pour se rendre partout à Paris."
35,27-01-2021,3e,kilcher,8.19,9,8,7,9,9,8,10,9,6,"eaucoup de commerces et d'établissements de santé,  une vie culturelle riche (quand on le peut)
Accès à tout Paris rapidement avec le métro et les bus.
On peut tout faire à pied sans problème et beaucoup de magasins sont ouverts le dimanche.
Vie de quartier très agréable,  les écoles sont à proximité et l'offre de la petite enfance très satisfaisante."
36,23-10-2020,3e,charles75,9.56,10,9,7,9,9,10,10,10,9,"ie culturelle intense, commerces de bouche qui se développent, jardins agréables : square Saint Gilles... Ouverture des commerces le dimanche, nombreux restaurants sympathiques, très beaux marchés, véritable qualité de vie avec nombreux hôtels particuliers, rues calmes, quartier situé au centre de Paris. "
37,16-10-2020,3e,Andy003,8.19,9,8,9,9,9,8,9,8,6,"'est beau.
Les petites rues, les immeubles, les jolies boutiques,...
Des rues très commerçantes, d'autres plus résidentielles, des rues avec beaucoup de bars, d'autres sans, donc ça reste assez varié.
La proximité de tout.
On peut se passer du métro, tant tout est à porter de mains."
38,23-09-2019,3e,Joul,3.88,6,2,5,6,6,3,5,8,0,"es boutiques sont magnifiques, et il est très agréable d'y déambuler en début de journée, quand le calme est encore là.
Assez bien desservi par le métro, bien que certains coins de l'arrondissement soient excentrés."
39,02-07-2019,3e,Lilalolu,6.63,7,7,6,9,9,6,8,9,3,"uartier en constante évolution avec des commerces et cafés restaus sympas.
Bien desservi en transports grâce à République.
Central."
40,09-10-2018,3e,Fifik,4.56,9,9,9,9,2,2,9,9,1,"etites rues sympas, une multitudes de commerces suivant le secteur."
41,03-10-2018,3e,Cool,9.56,10,9,9,8,9,10,10,9,9,"uper ambiance, plein de musées, architecture magnifique, toutes les écoles du coin sont très sympa, aucun risque le soir/la nuit, habitants chaleureux et souriants, meilleur quartier de Paris :)"
42,30-04-2018,3e,Dante05,8.75,8,9,8,9,9,9,9,9,7,"et arrondissement offre une qualité de vie rare, culture, commerces, écoles , sécurité. Ayant quitté la rive gauche il y a 3 ans, je n'ai jamais regretté mon choix et je m'en réjouis en permanence."
43,07-03-2018,3e,Alice Lewis,9.25,8,8,9,8,7,10,10,10,8,"eauté de l'architecture, quartier hyper vivant au niveau culturel, galeries, musées. Nombreux commerces de bouche ou de fringues. Beaucoup de restaurants de qualité. Arrondissement très familial."
44,29-11-2016,3e,Rémifrom Paris,9.19,7,10,9,7,7,10,10,9,8,"e top, la quartier de Sainte AVOYE; un mini quartier village entouré des meilleurs plans de sorties de la capitale.
Vrai quartier multi-culturel de Paris intra-muros. Coup de cœur, les américains de la rue de Bretagne"
45,18-10-2016,3e,Moimoimoi,7.56,4,9,3,4,10,8,10,10,7,"entral, calme, vie de quartier sympa, plein de boutiques et de petits parcs à découvrir.
Tout se fait à pied et est ouvert le dimanche."
46,08-10-2016,3e,DJy,9.38,8,10,6,9,9,10,9,10,9,"uartier très agréable à vivre, vivant, hétéroclite, village au cœur de Paris. De très nombreux cafés, bars, restaurants bobo, pour toutes les bourses"
47,31-10-2015,3e,SandC,9.31,8,10,8,9,9,10,10,8,7,"uartier agréable, vivant, on trouve tout, nombreuses écoles, salle de sport, magasins, population variée, nombreux transports, plein centre ville de Paris"
48,24-10-2015,3e,Marco,8.69,8,10,6,8,8,9,10,10,7,"e meilleur quartier de Paris, avec la beauté du patrimoine mais aussi du dynamisme et une population variée avec beaucoup de jeunes et d'étrangers."
49,11-10-2015,3e,Béranger,9.06,9,9,8,9,10,9,10,10,8,"ne ville qui vit à chaque heure de la journée. Beaucoup d'activités , de commerces,... Un petit arrondissement de Paris mais tellement chargé d'Histoire de France. Peu de circulation heureusement."
50,29-06-2015,3e,GasTon,7.75,9,8,8,10,8,7,9,9,7,"es commerces, le mélange de cultures, une ambiance festive presque tous les soirs, l'architecture, l'histoire , l'énergie ressentie. Tout l'arrondissement est propre et bien entretenu."
51,07-04-2015,3e,Calista,7.0,9,8,4,6,9,7,9,9,2,"oté village, restos, boutiques, galerie d'art, le marché des enfants rouges,  pâtisseries de la rue Rambouteau"
52,21-02-2015,3e,nicoyoyo,8.88,9,10,8,8,7,9,10,10,8,"e plus bel endroit de Paris, culture, éducation, parcs des archives, commerces, mode et galerie d'art, un havre de paix."
53,17-07-2021,4e,Rrm,5.75,8,5,8,4,10,5,8,5,4,"'ai vécu 20 ans dans le 4eme un quartier animé sympa avec plein des coins sympa pour se promener ou visiter,  beaucoup de transports, des bars et des restaurants..."
54,16-10-2020,4e,Vieux_bobo_gâté,6.88,7,9,8,9,6,6,10,8,5,"n semaine, en journée et soirée: quartier très agréable, avec des populations variées et sympas globalement. Il y a un vrai coté village qui ne se dément pas. La proximité des quais enfin débarrassés des voitures est un plus, et la disparition des voitures sur Rivoli est également un plus. Certes, il y a des SDF mais on les connaît tous, et franchement ce ne sont pas eux qui causent des soucis dans le quartier.
Super bon esprit des gens, insécurité nulle pour les femmes spécialement dans le Marais. Cela manque certes d'arbres, mais dans l'ensemble cela va car le quartier est beau. Tard le soir, le quartier devient carrément magique dans certains coins, mais il faut sortir de chez soi et se promener pour le voir.
Evidemment, la gentrification du quartier (le BHV, ses boutiques de luxe qui n'ont vraiment aucun intérêt) avance, mais les bistros du quartier tiennent le choc, et ont une population d'habitués vraiment sympa. Encore aujourd'hui un des quartiers de Paris les plus agréables à vivre, avec des gens tolérants et évolués.
Le Covid nous a heureusement débarrassé des touristes, ce qui a rendu le quartier plus propre (les SDF ne sont plus incriminés comme avant), et on constate que depuis le Covid, les rats ont disparu (en liaison avec la baisse des détritus sur le sol)."
55,21-09-2020,4e,Toyan,3.19,8,4,2,5,3,2,7,5,1,"e marais, le plus beau quartier du monde avec son histoire, ses rues, écoles très bonnes, transports en commun, restaurants, ambiance, tout est agréable..."
56,16-09-2020,4e,Tatou,1.69,2,0,1,3,0,2,1,1,3,"uartier historique plein d'Histoire.
Le quartier rêvé avant d'y habiter."
57,15-09-2020,4e,DECUE,1.5,5,0,4,4,1,0,4,5,1,ême avec beaucoup de bonne volonté... je peine à trouver des points positifs !
58,09-07-2020,4e,IsaMarais,4.75,8,8,2,2,10,4,8,6,0,"uartier agréable pour se balader et sortir, avec de nombreux commerces et restaurants. Rien n'est jamais loin et de nombreux transports en commun sont à disposition.
Les écoles publiques sont très bien. Un quartier historique avec beaucoup de charme."
59,17-06-2020,4e,Palastrite,7.06,8,8,3,8,9,7,7,7,7,"élinquance quasi-inexistante, parcs agréables. Nombreux commerces dont pas mal moyenne-haut de gamme. Beaucoup d'immeubles haussmaniens et le cadre de la place des Vosges... Transports idéaux avec le métro et le bus, c'est top !"
60,23-12-2019,4e,Montgallet,6.69,10,10,5,7,7,6,10,5,5,"'y vis depuis 10 ans. J'ai la chance d'habiter sur mon lieu de travail. Donc pas de trajet en voiture ! J'apprécie beaucoup le quartier (Saint Paul-Bastille). Le 4e fait partie des quartiers les plus propres de Paris, même si.... Pas de problème concernant les établissements scolaires."
61,04-09-2019,4e,Lakate,3.38,7,7,5,3,3,2,7,4,2,"'y vis depuis 39 ans, face au port de l'arsenal, dans un immeuble RATP, près du commissariat, et aucune boutiques ni boulangerie, ni médecin, ni alimentation ni même une banque de proximité, les bus et métro sont à 400m en plein Paris.. les écoles sont loin, nous vivons complément excentrés du centre la pollution en plus, aucune navette et desserte, pour les personnes âgées ou à mobilité réduite, le seul marché est dans le 11e, aucun centre de santé, dentaire etc etc, heureusement vue sur les bateaux et jardins."
62,02-03-2019,4e,Pariskipue,6.75,9,6,5,6,6,7,9,9,2,"uartier magnifique, très beaux immeubles. tellement de musées, jolies boutiques, cafés, etc. Un bonheur de carte postale."
63,16-09-2018,4e,Marion,8.75,7,8,9,9,10,9,9,6,10,"uartier très agréable à vivre. J'habite rue Chanoinesse. Magasins, bar, musée, cinéma à proximité. Énorme choix dans les transports. Bien fréquenté, pour ce qui est de ma rue calme."
64,08-08-2017,4e,Nemesis,2.06,2,7,2,3,7,1,2,1,1,"entral, donc à proximité de tout autre quartier."
65,09-07-2017,4e,azazazazaz34,6.06,5,8,5,7,7,6,7,7,3,n ne vous casse pas la figure à chaque coin de rue  ! Il y a beaucoup de transports.
66,03-01-2016,4e,ParisMagnifique,8.75,9,9,7,9,10,9,9,10,5,"n arrondissement de charme. J'y possède un appartement d'appoint que j'utilise pour passer un petit weekend prolongé à Paris quand je suis lassée de New York. Les immeubles anciens ont un charme fou et le choix de boutiques indépendantes est tout simplement génial. Arrondissement très central, au croisement des lignes de métro les plus importantes de la capitale."
67,03-08-2015,4e,Byebyemarais,2.88,4,6,0,3,9,2,5,3,0,"uartier central très bien desservi par les transports, très pratique pour sortir (activités culturelles et amicales) - très apprécié des filles pour le sentiment de sécurité (j'y habite depuis 10 ans, je suis souvent rentré très tard, je n'ai jamais eu de problèmes cependant ma voisine a été victime d'une grave agression dans le hall de l'immeuble)"
68,03-05-2015,4e,Mandy75004,5.25,8,8,6,6,10,3,10,10,2,"uartier animé avec la possibilité de tout faire sur place le jour comme la nuit, rapidement partout à Paris avec les transports.
Des coins très jolis."
69,09-03-2015,4e,hakim,8.75,9,10,7,8,9,9,8,10,7,lace stratégique à proximité de tous (lieux touristiques et établissements scientifiques et culturels). Le transport est pratique.
70,09-02-2015,4e,bonnhu7,9.0,8,10,9,8,10,9,9,10,8,"uartier animé, toutes commodités, rue Rambuteau est une merveille pour la nourriture, rue des francs bourgeois idéale pour se ballader car bcp de boutiques et piétonne le dimanche. Place des Vosges est superbe, ile saint louis, ile de la cité... Beaubourg somptueux pour les expos. Quartier central avec tous les transports a proximité. Aucune insécurité, quartier à la fois festif et calme qui se transforme en fonction des heures du jour. Coté activités sportives, présence de la piscine municipale saint Merri et d'une grande aire sportive derriere l'église saint paul."
71,02-08-2014,4e,Popol,8.0,8,6,3,5,9,9,9,8,8,"rès beau, très chic, tout est à côté  tout est fait pour les seniors et les bobo
Quartier qui attire les jeunes mais qui ne leur permet pas d 'y habiter...."
72,19-03-2014,4e,Amalthee,7.94,9,7,5,7,10,8,10,10,5,"ccès à la culture (Centre Pompidou, églises, musée Carnavalet etc...) aux commerces très nombreux et variés, aux théâtres. Transport très pratique avec châtelet."
73,12-01-2014,4e,dadacool,8.25,8,8,7,10,10,9,8,6,3,"op, on au centre de Paris"
74,05-09-2013,4e,mamidou,6.25,8,7,6,10,9,5,7,8,5,iches en commerces et en santé
75,03-02-2022,5e,Cloe,9.06,10,9,9,10,9,9,9,10,7,ie de quartier avec des commerces de proximité. Un quartier familial très bien situé qui offre la possibilité de se déplacer principalement à pied d'un quartier à un autre !
76,02-02-2022,5e,Justdo,4.38,7,0,7,7,8,3,6,9,2,ommerce transport. En dehors de ça franchement plus en sécurité dans le quartier.
77,02-02-2022,5e,RCMA,9.56,10,9,9,9,8,10,10,10,8,"e meilleur arrondissement où vivre à Paris.

Quartier chargé d'histoire,  très belle architecture,  beaux parcs et monuments (Jardin des Plantes,  Panthéon,  Arènes de Lutèce,  Collège de France,  la Grande Mosquée..)
Une offre éducative des plus exigeantes et variée (excellents collèges,  lycées,  viviers d'université),  le quartier latin qui a gardé une âme étudiante et antique forte.
Un fort choix de commerces de bouche de qualité (Mouffetard,  Geoffroy Saint Hilaire,  Maubert,  Monge...),  des marchés authentiques.
Des restaurants qui ont gardé une âme Parisienne et non trop branchés,  mélangés aux derniers fleurons de la cuisine moderne et/ou française (Alliance,  Solstice,  Sola,  l'Agrume,  la Tour d'Argent..). De la street food pour les amateurs vers Jussieu ou Saint Michel.
Des bars étudiants place de la Contrescarpe pour boire pas cher.
Beaucoup de cinémas d'art et d'essai à la programmation pointue vers la Rue des Ecoles
Le Muséum d'Histoire Naturelle pour la culture scientifique.
Médecins disponibles (centres de santé..)
Salle de sport,  piscines.
Des magasins ""classiques"" vers Saint Michel,  qui flirtent avec des magasins de niches tout au long de l'arrondissement (jolis magasins de jeux,  jouets,  cavistes,  bijoutiers..)
Un grand nombre de librairies bien achalandées avec des libraires qui connaissent leur métier,  ou de beaux livres d'occasion.
Lignes 5,  7,  10,  RER C,  nombreux bus.

J'y vis depuis 14 ans et ne partirai sous aucun prétexte.. sauf si je n'arrive plus à m'y loger! Il y a une vraie vie de quartier,  les habitants sont adorables,  le sud de l'arrondissement est assez épargné par les touristes. Il y fait bon vivre."
78,05-11-2021,5e,ivru,9.31,9,8,7,10,10,10,10,6,9,"e 5ème arrondissement de Paris est très beau,  il y a les plus grands lycées de Paris et parmi les meilleurs de France (Henri quatre,  Louis le Grand etc) et on a beaucoup de cliniques et de centres de santé."
79,02-05-2021,5e,Farfalle,9.13,10,9,8,10,10,9,10,9,8,"yant toujours vécu à Paris rive gauche dans le 15ème et depuis 2 ans dans le 5ème,  je trouve que cet arrondissement offre un bon compromis entre calme et vie de quartier. On ne s'ennuie pas,  on est proche de tout et le jardin des plantes permet un coin de verdure appréciable,  notamment lors des limites de déplacements en confinement. L'architecture y est très belle !
Point (très) positif : je ne me suis jamais faite embêter alors que ça m'est souvent arrivé dans d'autres arrondissements !"
