,date,arrondissement,auteur,etoile,education,securite,loisir,sante,transport,qualite de vie,culture,commerce,environnement,commentairePositif,commentaireNegatif
10,Avis posté le 04-06-2014 à 16:24,paris-1er-arrondissement_75101,Driss,8.19,6,8,5,5,10,9,10,10,5,"Les points positifs : Le commentaire laconique et stupide de Ash n'apporte rien à la connaissance de ce magnifique arrondissement central. Encore une qui n'habite pas Paris.
Comme dans beaucoup d'arrondissements parisiens, l'ambiance et l'esprit varie incroyablement d'un secteur à l'autre. En partant de l'est marqué par le boulevard Sébastopol et en remontant progressivement vers l'extrême ouest souligné par la place de la Concorde et la cour des comptes, vous traversez des mondes radicalement différents.
L'est : le quartier de Châtelet-les Halles allant du boulevard Sébastopol jusqu'à la rue du Pont Neuf + les Halles en pleine reconstruction. Si l'endroit ne brille pas par son taux de fréquentation important de racailles de plusieurs banlieues difficiles (après-midi et soirs et surtout le week-end), il brille par la beauté de son architecture : n'hésitez pas à vous perdre dans le dédale de ces belles rues chargées d'histoire dont les noms poétiques ont été conservés. Au sud des Halles rue des Innocents avec sa fontaine renaissance (la seule qui reste à paris), rue de la Ferronnerie où Henri IV a été assassiné, rue de l'Arbre Sec où Molière enfin venait chatouiller les pieds des pendus, les 3 belles rues parallèles rue Sauval/ Rue Vauvilliers (ne manquez pas le restaurant La Poule au Pot)/ Rue des Prouvaires. Au nord des Halles, ne ratez pas la sublime église Sainte-Eustache, les très belles rues du Jour et son magasin Agnès B et non loin d'ici le fameux restaurant Le Pied de Cochon, les très animées rue semi-piétonnes Montmartre et Montorgeuil qui se prolongent jusque dans le 2ème arrondissement.
Au sud de l'arrondissement, le quartier Saint-Germain l'Auxerrois avec une partie de l'île de la Cité à ne pas rater (notamment la sainte Chapelle et la Conciergerie); longez le long des quais pour voir tous ces brocanteurs qui sortent de volets en bois vert cadenassés toutes sortes de livres; plusieurs animaleries le long du quai de la Mégisserie, bien que je ne sois pas fan de voir tous ces animaux enfermés dans des cages et vendus comme des objets. Toujours dans ce quartier ne ratez pas la belle église Saint Germain l'Auxerrois depuis laquelle les catholiques avaient fait sonner le tocsin en 1572 pour ouvrir le massacre de la Saint-Barthélémy.
Le quartier du Palais-Royal (on monte d'un degré dans le luxe). Ce quartier est une pure merveille. Le jardin du Palais Royal bien sûr chargé d'histoire (avec ses fameux résidents comme Cocteur et l'écrivain Colette) et son restaurant le Grand Véfour; la belle galerie Véro Dodat; la Comédie française et sa jolie place; le superbe brunch à ne pas Louper le Claus rue Jean-Jacques Rousseau. Bien sûr inutile de présenter le Louvre.
Enfin le quartier Vendôme, monde du luxe avec ses palaces comme le Meurice, le Ritz (le bar Hemingway est à faire : le chef barman Colin Field élu meilleur barman au monde prépare des cocktails grandioses) situé place Vendôme avec sa belle colonne de la victoire et toutes ces joailleries qui l'entourent comme un écrin; le Mandarin Oriental récemment ouvert (sa somptueuse cour intérieure est un bonheur lors des beaux jours). Ne ratez pas le meilleur tea room de Paris ANgélina rue de Rivoli (le chocolat chaud y est tout est aussi célèbre que son décor et son service soigné). Si vous voulez marcher sur les traces de Coco Chanel rendez-vous rue de Cambon. La place du marché Saint-Honoré est superbement animée les soirs avec ses petites terrasses très sympa. 
En ce qui concerne l'insécurité soulignée par l'atrophiée du bulbe, elle existe surtout dans ses fantasmes. Certes, le forum des Halles, une partie de la rue Lescot, la rue Pierre Berger et la fontaine des innocents, la rue des Bourdonnais et la rue Saint-Denis gâchent un peu notre joie d'être dans un si bel arrondissement : cris, langage d'orang-outang, moeurs mal dégrossies... Mais la présence des CRS et de leurs fourgons stationnés rue Pierre berger, le commissariat, la présence de la BAC y est tellement importante qu'au moindre problème, tous ces agents débarquent rapidement. Mon amie qui est une femme s'y promène régulièrement la nuit et il ne lui est rien arrivée. Simplement faire attention aux voleurs discrets et qu'on trouve dans toutes les capitales.","Les points négatifs : Les points négatifs. Le côté lourdingue des banlieusards qui colonisent les Halles mais franchement rien de bien méchant. L'arrondissement ne brille pas non plus par sa qualité d'enseignement. Un seul collège public, collège Poquelin. Il était dirigé par un principal de front de Gauche qui faisait venir toute la population nord de la capitale. Une vraie zep à côté du Palais-Royal et en face du louvre et qui expliquait pourquoi les familles du 1er arrondissement n'y mettaient pas leur enfant. Depuis l'arrivée d'une nouvelle principale qui a décidé de redonner ses lettres de noblesse à l'établissement, les familles regagnent progressivement confiance même si ce n'est pas encore gagné. Attention à cette aberration le LEC Lescot rue des Bourdonnais : quand on passe devant et qu'on y voit les individus scolarisés c'est effrayant : je me demande comment la direction les recrute et surtout où ? Ils doivent en faire du chemin pour venir jusque dans le 1er arrondissement.
Attention à la politique démagogique des socialistes qui force le maire à construire des logements sociaux de plus en plus nombreux (un bel immeuble entier rue du Louvre =  56 logements sociaux / l'hôtel des Postes qui à son tour va abriter prochainement des logements sociaux ainsi que la Samaritaine = quelle honte quand tant d'étudiants parisiens et de classes moyennes qui travaillent sur la capitale n'arrivent pas à se loger : y mettre à la place des familles qui ne travaillent pas et qui ne parlent pas un mot de la langue de Molière ! Et quelle image on va donner aux touristes.
Au niveau des équipements sportifs, un  seul gymnase aux Halles. Pas top. mais par contre une grande piscine semi-privée, la piscine Suzanne Berlioux, très propre : les agents de vestiaire nettoient régulièrement et tout le monde doit quitter ses chaussures avant de pénétrer dans les vestiaires. Au coeur de Paris ça n'a pas de prix."
11,Avis posté le 02-05-2014 à 14:55,paris-1er-arrondissement_75101,ash,5.13,5,3,8,5,10,4,8,7,4,Les points positifs : Animé,"Les points négatifs : Insécurité, espaces verts"
12,Avis posté le 02-12-2021 à 22:05,paris-2e-arrondissement_75102,mellopu,8.63,6,9,6,9,9,9,10,10,7,"Les points positifs : Avec le nouveau parc des Halles,  la nouvelle poste de la rue du Louvre et le sublime musée Pinault à la Bourse de commerce,  le sud du 2e est métamorphosé. La rue Saint-Denis et le Nord se gentrifient aussi. Ambiance très très agréable,  avec population jeune (beaucoup de bureaux de start-up donc terrasses très animées) et- globalement - respectueuse.","Les points négatifs : Très inaccessible en voiture en venant du périph,  pas de grand bois ni de grands terrains de sport.
Les prix de l'immobilier grimpent et le nombre de familles diminue."
13,Avis posté le 19-12-2020 à 00:11,paris-2e-arrondissement_75102,Riri,7.69,6,8,6,7,9,8,9,9,5,"Les points positifs : Arrondissement hyper central, animé vivant, de nombreux restaurants bars hyper fun branchés comme traditionnels. On peut tout faire à pied et métro ligne 4 8 9 3.
Quand on se fait connaître par les commerçants et restaurateurs et qu'on est du quartier (plus qu'un simple touriste) on est tout de suite bien accueillie et on vit une bonne vie de quartier.
Beaucoup de musées, passages, le sentier qui bouge la rue saint Denis qui devient hype. Rue Montorgueuil incontournable. Rue des petits carreaux, bref plein d'endroits top et quartier ouvert au monde.","Les points négatifs : Comme tout centre ville : pollutions,  beaucoup de passages, peu d'espace vert."
14,Avis posté le 21-07-2020 à 10:16,paris-2e-arrondissement_75102,CS92250,3.94,5,7,1,5,8,3,7,5,1,"Les points positifs : Central et très bien desservi pas les transports en commun.

A part ça... plein de commerces pour touristes.","Les points négatifs : J'ai vécu 9 ans dans le 2ème arrondissement. J'ai déménagé à Alfortville en janvier et je ne regrette pas.

Je ne supportais plus le monde (infernal pour marcher sur les micros trottoirs), les voitures (embouteillages monstres), le béton (un seul espace vert de 10m2 dans le sentier près de Notre Dame de bonne nouvelle), le bruit (surtout des lieux pour touristes), la saleté (pas due à la mairie de Paris mais aux gens sales, parisiens et touristes, par exemple la pisse dans tous les coins de rues), la promiscuité dans les immeubles. J'ai vécu dans 35 m2, ce qui est correct pour le centre de Paris, mais dans l'ancien il faut tenir compte du fait que vous vivrez avec les voisins qui sont souvent dans ce quartier des touristes venus pour profiter. les immeubles sont donc très bruyants et si vous venez de province, comme beaucoup, il faudra vous y faire ou pas."
15,Avis posté le 06-05-2020 à 16:40,paris-2e-arrondissement_75102,Oliv94,5.88,6,7,4,7,9,5,9,10,2,"Les points positifs : J'étais content de m'y installer.
Au bout de 2 ans voici les points positifs du plus petit arrondissement de Paris.
Clairement ce sont les transports. Pas besoin de voiture, vous pourrez aisément vous déplacer grâce aux lignes de métros, bus et RER qui vous amèneront aux aéroports par exemple.
Autre point positif : les commerces et activités culturelles. Entre les petits commerces, les restaurants les grandes enseignes, les cinémas et autre vous serez conquis.
Une sécurité maîtrisée notamment dans l'ouest de l'arrondissement. La rue Saint Denis qui n'avait pas réputation glorieuse est désormais assez similaire à la rue Montorgueil, ce qui n'est pas négligeable.
Quelques pépites : les galeries méritent le détour, la rue Montmartre agréable tout comme les rues perpendiculaires à la rue Montorgueil.","Les points négatifs : Après 2 ans j'étais content de partir pour les raisons suivantes :
Trop de monde, trop de nuisances, trop pollué.
On a un sentiment d'étouffement, le manque crucial d'espace vert n'aide pas.
Aucun charme côté Sentier et la porte Saint Denis inspire le dégoût. 
Le prix des loyers et à l'achat est exorbitant.
Un arrondissement qui coûte cher pour au final un cadre de vie mitigé."
16,Avis posté le 29-10-2019 à 12:51,paris-2e-arrondissement_75102,Dudussse,5.50,6,4,8,8,8,5,8,4,2,"Les points positifs : Si vous aimez la vie urbaine et son activité vous serez servis. Un ""arrondissement-restaurant"" à ciel ouvert.
En terme de transport vous avez plusieurs lignes de métro : 8-9-3-4 et de RER : A, ainsi que de bus.
Arrondissement très culturel et vivant... Une cantine à l'école primaire très axée sur des produits biologiques.
Des clubs de sports à proximité.

En gros la proximité.....","Les points négatifs : Un maire Vert qui hormis un mur végétalisé et une cantine bio n'a rien fait de CONCRET dans cet arrondissement minéral.
J'y suis depuis que je suis né (43 ans), une grosse partie de la population de classe ouvrière ou employé de bureau qui a du partir face à l'inertie de la mairie de Paris ET de l'arrondissement.
Des habitants pas forcément sympas qui sont le porte-voix de l'entre-soi.
Des logements sociaux donnés aux ""copains"" et pas aux habitants historiques dans le besoin.
Des restaurants soi-disant gastronomiques qui font pour beaucoup (pas tous) du sous-vide pour des prix qui font couiner le lard-feuille.
Enfin, des loyers hors-sols qui ne sont pas du tout intéressants, pour des logements avec des surfaces biscornues... la blague."
17,Avis posté le 28-10-2019 à 11:17,paris-2e-arrondissement_75102,Rose,2.38,4,2,2,4,7,0,10,9,0,"Les points positifs : Central, animé, historique.","Les points négatifs : Quartier de passage. Les gens viennent au ciné, boire un verre ou acheter des vêtements et s'en vont. Les locaux (y en a peu) ne sont pas du tout sympathiques. Bruit constant matin soir, nuit. Saleté des rues étant donné le passage. Délinquance à maîtriser. Et surtout ce qui marque, c'est la pollution, abondante et intense. Ajoutez y le bruit est c'est la formule parfaite pour devenir dingue."
18,Avis posté le 16-09-2019 à 13:06,paris-2e-arrondissement_75102,Cedsen,5.19,8,8,2,8,10,4,8,5,2,Les points positifs : Central est à peu près le seul intérêt de cet arrondissement dans lequel je vis depuis 9 ans.,"Les points négatifs : Très dense, aucun espace vert, mis à part un square de 4m2 et quelques arbres sur les boulevards. Il est parfois dur de marcher sur les trottoirs tellement il y a de monde.

Une réelle invasion de touristes Airbnb depuis 2 ou 3 ans avec l'inconvénient que certains ne respectent rien, sont bruyants, et que tout le monde doit supporter ces personnes auxquelles on ne peut rien dire car ils sont là pour s'amuser.

Arrondissement, comme la plupart de Paris, très sale. Cela est dû aux encombrants sauvages sur les trottoirs, déchets divers, urine dès qu'il y a un coin tranquille.

Énormément de commerces mais très mal répartis. Par exemple, aucun commerce entre Strasbourg Saint-Denis et Réaumur et une overdose rue des Petits-Carreaux. De plus, une standardisation des commerces comme dans tout Paris.

Un immobilier hors de prix vu la qualité des immeubles. Il vaut mieux acheter du Haussmann dans un arrondissement comme le 18e qu'un appartement 1900 ouvrier dans le 2e dont on est pas certain qu'il tiendra aussi longtemps. Attention au Sentier également. C'est joli mais l'affaissement d'immeubles de la butte, qui n'a rien de naturel mais est un ancien dépôt de déchets, est fréquent."
19,Avis posté le 30-12-2018 à 23:03,paris-2e-arrondissement_75102,Reb,6.19,4,5,2,7,10,6,10,10,3,"Les points positifs : Commerces accessibles , transports à 3 minutes , emplacement idéal pour tout faire à pied , restaurants de tous les choix.","Les points négatifs : Prostituées, saleté, pas trop sécurisé avec toutes les racailles qui viennent passer des soirées dans le quartier.
Manque d'espace vert, de centre sportif comme piscine, mini foot ou même stade de basket."
20,Avis posté le 11-10-2018 à 18:03,paris-2e-arrondissement_75102,Ricath,8.38,8,8,9,10,10,8,10,10,5,"Les points positifs : Quartier très central, on est proche de tout : commerces, transports, cinémas, Louvre et Beaubourg, etc. Contrairement à certains commentaires, je ne trouve pas que la prostitution de la rue Saint-Denis soit gênante. D'ailleurs il y en a de moins en moins, et la rue Saint-Denis tend à ressembler à Montorgueuil.",Les points négatifs : Quasiment pas d'espaces verts (il faut dire que l'arrondissement est tout petit). Certaines parties sont bruyantes le soir en raison des nombreux cafés et restaurants.
21,Avis posté le 19-07-2018 à 01:11,paris-2e-arrondissement_75102,Noémie De V,2.06,1,1,4,5,2,1,7,5,0,Les points positifs : centre pompidou - montorgueil - commerces - restaurants quartier vivant.,"Les points négatifs : crasseux, saleté répugnante, hyper bruyant voir infernal du côté du Boulevard Sebastopol, de plus en plus mal fréquenté, racailles et dealers, bref invivable  comment vivre dans cette crasse et ce brouhaha perpétuel ?

Adresse email invalide !!"
22,Avis posté le 18-07-2018 à 00:49,paris-2e-arrondissement_75102,Mgt16,7.13,7,6,8,7,9,7,9,9,3,"Les points positifs : Montorgueil, Opéra, transports, clubs, nombreux restaus et commerces. Globalement je recommande ce quartier jeune et dynamique, parfait pour quelqu'un sortant beaucoup !","Les points négatifs : Squat, prostitution, pollution.
La prostitution rue st denis est vraiment insupportable et intolérable. 
De même, attention vers le métro Bonne Nouvelle où on peut rencontrer de nombreux toxicos."
23,Avis posté le 30-08-2017 à 23:55,paris-2e-arrondissement_75102,Lala,3.00,2,3,5,6,1,2,7,8,0,"Les points positifs : Montorgueil, Vivienne agréables, bars, cinéma Le Grand rex, restaurants.","Les points négatifs : Bruyant, le Boulevard Sébastopol est insupportable, hyper pollué, vous ne pouvez pas rester les fenêtres ouvertes si vous y vivez, le quartier est sale, très sale et selon les rues, très mal fréquenté."
24,Avis posté le 28-05-2017 à 09:22,paris-2e-arrondissement_75102,liloudeparls,9.06,10,10,10,8,9,9,8,8,10,"Les points positifs : rue montorgueil, central, transport, quartier vivienne,
la bourse. de nombreux et bons restaurant... le grand rex juste à cote... un quartier qui bouge avec la présence de plusieurs bars et boîtes de nuit. niveau culture le louvre et le centre georges Pompidou sont à 2 pas .","Les points négatifs : prostitution, le quartier commence à accueillir ses premières racailles rue saint spir - sur la place rue d'alexandrie. la saleté de certaines rues... les poubelles qui débordent en fin de journée... la fin de la rue d'aboukir toujours en travaux.
clairement le maire soigne la vitrine du quartier (montorgueil, vivienne) et délaisse la partie strasbourg saint denis sentier."
25,Avis posté le 27-05-2016 à 16:40,paris-2e-arrondissement_75102,Parisian,8.50,7,6,5,7,10,10,6,10,5,"Les points positifs : Centrale, beaucoup de commerces de ""bouche"".
Rue montorgueil très sympa, Quartier Vivienne également !
Charme et ambiance Hypster :)
Nombreux restaurants et magasins.","Les points négatifs : Propreté de certaines rue, Prostitution (un problème à Paris)"
26,Avis posté le 30-10-2015 à 18:18,paris-2e-arrondissement_75102,Paris2 arrh,3.06,0,6,0,6,8,2,3,10,0,"Les points positifs : central, beaucoup de moyens de transport","Les points négatifs : peu d'espaces verts mais un skate-parc !! (alors qu'il y en a un aux halles - on peut s'y rendre rapidement en skate) par contre pour les enfants c'est le béton...
sectorisation anarchique des écoles maternelles et primaires pour soit disant éviter des ghettos (il n'y a plus d'école en éducation prioritaire dans l'arrondissement ) ne serait ce pas pour nous forcer la main à aller en privé ? )
des choix irrationnels : le dernier en date : rendre la rue aux enfants ... les lundis et mardis matin hors vacances scolaires... euh ils ne vont pas à l'école à ce moment là les enfants justement ?? (ah mais ça va donner un espace de récréé pour la seule école à côté... était ce vraiment le but de ""madame le maire j'ai une idée"" ? 
mais qui réfléchit derrière cela !!
aucune réaction ni de décision cohérente des instances de la mairie
beaucoup de bruits et de détritus avec les boîtes de nuit et le skate-parc
pas de supermarché (genre monoprix) suffisamment fourni et financièrement accessible)"
27,Avis posté le 23-10-2015 à 19:54,paris-2e-arrondissement_75102,Dadou,3.81,7,3,5,7,7,2,7,8,1,"Les points positifs : Charme de certaines rues, position centrale dans Paris, commerces de proximité, mairie sensibilisée au végétarisme (repas végétarien proposé dans les écoles)","Les points négatifs : Nuisances sonores dues à des regroupements quotidiens de jeunes qui squattent les rues et qui rendent la vie ici difficilement supportable... dommage...
Pas de réaction efficace de la part des instances qui semblent vouloir laisser la situation se dégrader (peut-être un choix politique ?)"
28,Avis posté le 03-07-2015 à 02:38,paris-2e-arrondissement_75102,misterdaxav,7.44,7,7,5,7,9,8,8,9,3,"Les points positifs : Position centrale dans Paris à proximité des endroits essentiels et extrêmement bien desservie par le réseau de transports.
Quartier très vivant avec théâtres, cinéma (Rex), salles de concerts, bars...
Beaucoup de restaurants
Beaucoup de commerces/services de proximité
Mixité sociale réussie","Les points négatifs : Un peu bruyant sur les grands axes chargés en voitures
Pollution ressentie due aux voitures
Propreté générale plutôt moyenne
Pas de tri sélectif !!! :(
Manque de variété au niveau des commerces ""de bouche"""
29,Avis posté le 08-11-2014 à 22:04,paris-2e-arrondissement_75102,Marco,7.75,5,8,5,9,10,8,10,8,5,"Les points positifs : Petit arrondissement où il fait bon vivre, au centre de paris, proximité des cinémas, théâtres et mêmes opéras (entre garnier et Bastille), très bonne vie nocturne. Certaines rues sont piétonnes le dimanche.","Les points négatifs : La prostitution semble légalisée côté rue st denis, les riverains doivent apprécier...quel dommage pour un maire ecolo de ne pas être plus ambitieux pour son arrondissement (envisagé de fermer des rues le week end et non pas seulement quelques rues le dimanche). Les collèges publics semblent médiocres, la fourrière par contre doit bien fonctionner...."
30,Avis posté le 10-07-2014 à 13:50,paris-2e-arrondissement_75102,poup,8.69,5,10,3,9,9,10,10,8,5,Les points positifs : agréable,Les points négatifs : peu vivant le soir
31,Avis posté le 19-04-2014 à 13:45,paris-2e-arrondissement_75102,driss,6.94,3,7,4,6,9,8,4,10,4,"Les points positifs : Plus petit arrondissement de Paris. Le 2ème arrondissement est bicéphale. Les quartiers de Montorgueil et de Vivienne-Gaillon sont de pures merveilles. Il suffit de fréquenter la très chic rue Montorgueil (soeur jumelle de la rue clerc dans le 7ème mais avec un supplément d'âme en plus) ainsi que la partie piétonne de Montmartre, rue Mandar, rue Tiquetonne, rue Greneta. Leurs fromageries, poissonneries, boulangeries (hum la fameuse boulangerie/pâtisserie Stöhrer, les nombreux bars, restaurants. Plus à l'ouest les belles rues Vivienne avec sa somptueuse galerie, rue de la banque, la somptueuse place des petits pères et le charmant quartier Sainte-Anne sans oublier la belle bibliothèque Richelieu. La rue de la Paix, malgré son clinquant, a un réel charme. EN moins spectaculaire, le quartier du Sentier qui se boboïse et qui offre un côté petit village avec ses beaux immeubles au tracé irrégulier. 
Malgré le laxisme d'un maire qui se prononce pour les salles de shoot et qui invitent des enfants à aller voir des expositions en mairie sur l'excision (représentations de vagins béants), le commissariat est dirigé par un commissaire très efficace, compétent et à l'écoute des riverains.","Les points négatifs : Equipements sportifs : absolument nullissime. Pas de piscine, de terrains de sports... nada. Si vous voulez faire du sport vous n'avez d'autre choix que de dépenser une fortune (2000 euros l'année) pour aller soit à l'Usine (vous aurez au moins l'occasion de perdre votre temps à côtoyer tous les acteurs français) ou au Klay (même atmosphère. 
Le quartier Saint-Denis : la municipalité a totalement abandonné ce quartier et ne s'occupe pas de la prostitution sauvage, des déchets, de la puanteur et de l'insécurité.
La pollution : le maire écolo qui ne veut pas lâcher la municipalité depuis plus de 13 ans autorise toujours autant les voitures et les camions à rouler dans les petites ruelles au risque d'écraser les piétons   les tags qui se multiplient ne sont même pas enlevés malgré nos appels
La démagogie : le maire multiplie la construction des logements sociaux essentiellement dans le sentier et le quartier saint-denis : des enfants et des adolescents d'origine africaine désormais colonisent les rues ,dégradent l'église bonne nouvelle, le square Bidault, hurlent, shootent au ballon, colonisent la place Goldoni, dealent du côté rue Saint-Denis, rue Chénier, passage Lemoine, passage du Ponceau, dans la rue dégueulasse d'ordure et de pollution Palestro.
Le prix : enfin bien entendu le prix délirant de l'immobilier qui fait fuir les classes moyennes et assez aisées. La mairie encourage ces prix pour racheter ces immeubles, y loger des familles qui ne travaillent pas, qui laissent leurs enfants grandir dans les rues et les dégrader et ce, afin de rattraper un retard dans l'imposition des 25 pour cent de logements obligatoires."
