,date,arrondissement,auteur,etoile,education,securite,loisir,viePratique,environnement,commentaire
10,31/12/2021,01,Drasticot,4.6,0,4,5,5,5,Un quartier où il fait bon à vivre avec toutes les commodités. le quartier est trés bien desservi   
11,30/12/2021,01,EMILIEN,3.4,0,3,3,3,4,Beaucoup de crotte de chien dans les rue et masque et les poubelle pas souvent vidé ...........................
12,18/12/2021,01,stunty999,3.8,3,3,4,4,3,"Paris, la capitale, avec tous les avantages qu'elle représente et tous les désagréments aussi.
Elle risque une des plus belle ville du monde."
13,14/12/2021,01,Sandra,1.8,0,1,3,3,1,Ce n’est pas un endroit où j’irais habiter et spécialement pas durant la pandémie car cela me fait peur.
14,01/12/2021,01,Thomas,3.4,0,3,3,3,3,Paris est quand même une très belle ville malgré quelques defaults. Nous avons tout à proximité et cela fait du bien.
15,29/11/2021,01,emorej,1.8,2,1,3,3,1,C'est un  quartier sales et ou on ne se sent pas en securite. je ne pense pas y resider un jour. la mairie devrait agir sur la propret de la ville avant de vouloir y chasser les voitures
16,05/11/2021,01,Trevor gmtag,4.6,0,4,5,5,5,C'est une très belle ville vraiment très très belle et j'adore quand c'est l'hiver et les gens doit faire plus attention à l'heure environnement à Paris ça pourrait gâcher toute leur ville sinon elle ne  serai plus si belle
17,03/11/2021,01,bellso,2.4,0,1,4,4,0,"La ville de Paris est pas magique, c'est plutôt comme toutes les autres villes :la richesse qui cache plein de misères ...."
18,20/10/2021,01,nicolas,3.6,4,2,4,4,4,"Super ville car très grand choix de loisirs.
mais logements trop chers.
dommage que la population de la ville ne respecte pas plus la propreté de l'arrondissement."
19,01/10/2021,01,axeu,4.2,0,3,5,5,4,"Tout est à proximité (transports, commerces...) très agréable de vivre dans ce quartier. Je recommande ce quartier."
20,04/09/2021,01,nadia,4,0,4,3,3,5,"Très belle ville , ses monument magnififique 
la circulation assez difficiles , mais dans l'ensemble tres bien"
21,21/08/2021,01,Caroline,4.6,4,5,5,5,3,Je m’y rends régulièrement car mon fils y travaille. J’adore Paris et en particulier le premier arrondissement 
22,20/08/2021,01,Jsac,3.8,0,3,3,3,5,Beaucoup d’activités commerciales et avec beaucoup de personnes donc plus de possibilités d’avoir de situations compliquées 
23,14/08/2021,01,Jasmin,3.2,0,3,3,3,3,"Ville dynamique qui mérite d'avoir plus d'actions sociale et sportif, beaucoup de potentiel reste encore à exploiter "
24,04/08/2021,01,Guillaume,3.2,2,3,4,4,1,L'environnement à une note de 1 car globalement la vie à Paris est trop polluée tant par le bruit que par la qualité de l'air. 
25,01/08/2021,01,Anthony,3,0,3,3,3,3,"RAS tout est correct, très belle ville ou il fait bon vivre. Transport en commun disponibles toute la nuit serait bien."
26,09/06/2021,01,Fake66,4.2,0,4,4,4,4,"Contrairement à ce qu'on pourrait penser quand on y habite pas, Paris est très facile à vivre. D'ailleurs, les ""Parisiens"" n'existent pas vraiment, ce sont en réalité des gens venant de toute la France, en faisant une ville très riche socialement parlant ! Ils ne sont d'ailleurs pas agressifs, en tout cas pas plus que dans le reste de la France. Ils sont même plus ouverts. En revanche ils ont plus tendance à être dans leur monde, à se créer une bulle plus difficilement pénétrable. Prenons un exemple : quand vous petes dans le métro, la norme c'est pas d'intéractions. Quand quelqu'un rentre et vous bouscule, personne ne va s'en prendre à lui s'il ne dit rien. En revanche dès que la personne s'excuse, fait une blague, est tout simplement humaine, tout le monde va s'éclairer. On entend beaucoup plus souvent des ""non non pas de problème, ça ne fait rien ne vous en faites pas"" que l'inverse. "
27,09/05/2021,01,Lina senadla,4.2,4,5,4,4,4,"Ce jeu concours est très bien pour gagner des prix spéciaux et pour apprendre gratuitement sans payer mais aussi pour s' inscrire 
"
28,08/05/2021,01,Lina senadla,4.2,0,5,4,4,4,"Ce jeu concours est très bien pour gagner des prix spéciaux et pour apprendre gratuitement sans payer mais aussi pour s' inscrire 
"
29,29/03/2021,01,cdo,2.8,0,2,3,3,3,"Cohabitation parfois compliquée dans cette grande ville, notamment dans les différents modes de transport, ce qui dégrade l'aspect ""vie pratique"". La place de la voiture est trop brutalement écartée au profit du vélo, dont l'utilisation reste à prouver dans certains endroits...
Point noir sur la sécurité, notamment dans les transports en commun... 
Les autres aspects sont plutôt positifs (culture, éducation, loisir...).  "
30,20/02/2021,01,fabyenna,4.8,4,4,5,5,5,Paris est la plus belle ville du monde et tous ceux qui la critiquent ne savent pas l'apprécier :-) Le Monde entier nous l'envie :-)
31,27/12/2020,02,perrine55,3,0,1,5,5,3,"Trop de monde, trop de dégâts. Je ne me sens pas sécurité du tout.
Trop de délinquance, pas assez de surveillance"
32,18/10/2021,02,Carole,2.6,0,1,3,3,3,"Les activités sont multiples mais nous ne nous sentons plus dans notre pays, les gens ont peurs. Il n’y a plus aucun respect, aucune éducation, aucune solidarité et les rues deviennent de plus en plus sales."
33,18/09/2021,02,Boumbo.01,4.2,4,3,4,4,4,Magnifique ferrique on balade on se crois en voyage le seule soucis même avec les travaux le bruit je crois c pire faudrait interdire les voitures et laisser que les transports en.commun 
34,25/07/2021,02,Sarah ,3.8,0,4,5,5,4,J'aimerais bien voir sortir un grand magasin comme carrefour ou auchan les petit commerces coûte vraiment trop cher 
35,24/01/2021,02,jeminiz,4.4,0,4,4,4,5,"Le quartier Montorgueil est un quartier piéton dans le coeur de Paris. Entouré de nombreuses stations de métro, il est très accessible. Quartier très vivant par ses nombreux restaurant et bars."
36,08/01/2021,02,Ingrid ,4.6,4,4,5,5,5,"Aspects positifs : 
Nombreux commerces 
Nombreux restaurants 
Nombreuses salles de sport 
Une vie de quartier animée 
Très bien desservies en transport 
Aspects négatifs : 
Manque d'accessibilité pour les fauteuils roulants "
37,17/12/2020,03,knldl,3,0,2,3,3,3,"Trop d'insécurité, des jeunes qui fument du shit vers le passage du pont au biche ou dans les squares"
38,23/02/2022,03,marion moulin,2.8,0,3,4,4,4,"Paris est une belle ville, mais la praticité n'est pas présente, faire des heures de métro ou de voiture pour aller au travail etc ... Et les parisiens ne sont pas très sympa ..."
39,03/02/2022,03,Emmanuel ,4.2,3,3,5,5,5,"Bel arrondissement  bien desservi mais moyen en sécurité, beaux monuments, beaucoup de musée bien desservi pour le sport .bien desservi par le métro mais galère en voiture "
40,02/02/2022,03,Co,3.2,0,2,4,4,2,Le soir on ne se sent pas en sécurité et l'environnement n'est pas très arboré.  En revanche toutes les commodités sont proches et accessibles un bon point.
41,07/01/2022,03,Theye,5,0,5,5,5,5,Le 3eme arrondissement est très calme et très agréable a vivre. La proximité de la seine est agréable pour se promener le weekend
42,13/12/2021,03,Gaelle,3.6,4,2,5,5,4,"Capitale, ville rêvée et enviée par le monde entier.
Trésor culturel, des richesses inouïes mais avec un accueil parfois déplorable. "
43,26/10/2021,03,Olaph,1.8,0,0,5,5,0,"Je ne viens pas de Marseille cependant au niveau de la sécurité il est clair que c'est une ville avec beaucoup de personnes dangereuses et de nombres agressions..
Une population avec peu de moyens donc les enfants n'ont pas la même éducation niveau scolaire qu'ailleurs.
Très bonne ville concernant le sport ;)
Ville très polluée dû a une très grande circulation et toujours une ville avec de petit moyen et beaucoup de quartiers pauvres ...
En gros pas très pratique comme ville sûrement belle à visiter mais sans plus. :)
"
44,10/12/2021,03,S.,3.4,0,3,3,3,3,"D'où il sort celui-là ??
Une ville ? On parle du 3e arrondissement, un concentré d'histoire et de culture.. Misère ultime que ces cerveaux en bouillie."
45,20/07/2021,03,magdum,3.4,3,1,5,5,3,Quartier rempli d'activité et de vie particulièrement avec le quartier du Marais (bon...hors confinement biensur)...sa position permet d'accéder rapidement aux principaux points de paris
46,14/07/2021,03,chloé,2.2,0,4,4,4,1,"Très jolie 
pas de sécurité 
Endroit très pratique et intéressant 
je conseille d’aller dans ce quartier en famille "
47,12/01/2022,04,Irina,4.2,0,4,4,4,3,"Le quartier du 4ème s'est transformé en musée ponctué par des boutiques de luxe, des magasins de vêtements. Il n'y a pas de vie de quartier, personne n'y habite car les prix sont exorbitants. C'est vraiment dommage, le coeur de Paris mérite de vivre."
48,06/03/2022,04,Geoffrey,1.8,5,2,1,1,1,Y’a tout et c’est ouvert jusqu’à tard ! Les professeurs sont à l’écoute des étudiants! Et on y a notre restaurant préféré chez ajia ! Coiffeur disponible sans rdv ! Que du plus!
49,15/01/2022,04,Olivier,3.4,0,4,3,3,2,Arrondissement de moins en moins populaire les grosses enseignes luxe arrivent . Plus de bons sens entre voitures et vélo ( si la voiture électrique est si propre)laissons lui une place 
50,19/11/2021,04,Agathe,3.2,0,2,3,3,3,"Tout est à porté de main, mais on étouffe un peu, surtout le week-end, les rues sont bondées et on est loin des parcs. Mais pour sortir et bien manger c'est tellement facile ! "
51,10/10/2021,04,Tristan_LD,3.6,4,3,4,4,3,"Paris est une ville qui devrait à mon sens proposer plus d'infrastructures sportives, en revanche la vie culturelle est foisonnante. "
52,29/05/2021,04,Gauthier,2.8,0,3,4,4,2,"Positifs: les quais et leur aménagement
Négatif : la saleté et l'insalubrité parfois surtout au bord des quais l'été."
53,01/03/2021,04,Rive 60,4,0,4,4,4,4,"Très belle ville, agréable et pratique avec les système de transport, bonne école à proximité. Manque d espace vert "
54,12/12/2020,04,Shaka666,2.8,3,1,3,3,3,C'est un quartier très agréable à vivre. Il est central dans Paris ce qui permet d'avoir facilement accès à tous les arrondissements en métro ou en bus.
55,05/12/2020,04,BRUNO,4.8,0,5,4,4,5,Le coté pratique est que l'on trouve tout nos besoins sans chque coin de rue mais question sécurité c'est zéro car il n'y a pas assez de policiers dans les quartiers
56,28/12/2020,05,NGRVS,2.6,0,1,4,4,1,"Quartier vers Censier / bas de la rue Mouffetard. Très agréable à vivre, on retrouve une ambiance de village. Tout est à proximité. La place devant l'église St Medard est un lieu idéal où profiter des beaux jours."
57,24/02/2022,05,Gus,3.4,4,3,5,5,2,"Bonnes possibilités de transport mais pollution excessive. De plus, la surpopulation est fortement présente dans cette ville et dans cet arrondissement. "
58,10/02/2022,05,Mustafa,5,0,5,5,5,5,Paris est un bonne pour faire du tourisme mais pour y vivre c'est plus compliqué au niveau des prix et de l'environnement .La vie a paris est très compliqué car il y a des gens plus démunis que d'autres si je gagné cette nitando je l'offrirai a un enfant qui souhaite lavoir pour Noël
59,03/02/2022,05,Victor,3.8,1,4,4,4,3,"C'est un arrondissement très agréable, tellement agréable qu'il est devenu un arrondissement de privilégiés qui ont les moyens de vivre dans Paris dans un quartier vivant, très sécurisé, propre. 

Il n'y a donc presqu'aucune diversité dans cet arrondissement, ce qui est dommage."
60,25/12/2021,05,Abk94,5,3,5,5,5,5,J'espère gagner la Nintendo bonne chance à tous les participants j'espère vraiment gagné Ce jeu  vidéo j'espère que c'est pas faux le site
61,14/12/2021,05,Nicolas,5,0,5,5,5,5,"Endroit très cool pour les étudiants, le cadre est magnifique, la culture est omniprésente, le seul problème : on est à Paris..."
62,17/11/2021,05,bonbons1985,3.6,1,4,3,3,5,La plus belle ville du monde que j'ai eu la chance de déjà visiter mais je y retourner très vite!!! 
63,23/09/2021,05,sassa1,5,5,5,5,5,5,La ville est agréable. Il fait bon vivre dans le quartier.  Il n'y a cependant pas beaucoup de magasins alimentaires dans les environs.
64,01/09/2021,05,pompito,2.2,0,0,4,4,2,Paris est magique Paris est magique Paris est magique Paris est magique Paris est magique Paris est magique Paris est magique Paris est magique Paris est magique Paris est magique Paris est magique Paris est magique 
65,23/08/2021,05,Josephine,4.4,1,3,5,5,4,"Beaucoup de chose a proximité, mais beaucoup de pollution et de monde. Pas réellement rassuré dans les rues "
66,22/07/2021,05,aude,5,3,5,5,5,5,"Quartier animé mais bruyant. 
tres bien desservi par les transports
restaurants trop touristiques mais pas assez qualitatif"
67,29/06/2021,05,LISA  ,3.4,0,3,3,3,4,J'adore ce quartier il y a la cathedrale notre dame qui est magnifique des endroits pour danser le rock hyper sympa 
68,15/03/2021,05,gribouille09,5,0,5,5,5,5,"J'habite ce quartier depuis plus de 15 ans et il a beaucoup changé. Moins propre, plus de mendicité. C'est bien dommage. "
69,21/02/2021,05,Gamila Reube,3.8,3,4,3,3,4,"Le Quartier est animé, à proximité  de la culture, de la beauté parisienne, une facilité de déplacement. "
70,13/01/2021,05,PIERRE,2.8,0,2,3,3,1,"5H, Paris s'éveille ICI ! 
Je suis absolument fan du quartier St Michel, 1 an que j'y suis et vraiment sans m'en lasser !"
71,12/01/2021,05,Valentine,4,0,3,5,5,4,"Très beau quartier et de nombreux établissements (Henri IV, Sorbonne, ENS...).
Paris reste Paris avec son environnement pollué. Le soir une crainte toujours présente même si le quartier n'es pas du tout le pire. "
72,20/12/2020,05,Toulac,3.4,3,4,3,3,3,"Rues parfois sales.
Crottes de chien et mégots
Fleuri
Boisé
Pollution présente
Beaucoup de commerces de proximité "
73,05/12/2020,05,lorenzotidjano,4.4,1,4,4,4,4,Quartier relativement calme . Commerce et marché de proximité. agréable promenade au jardin des plantes pour le sport. écoles de bonne qualité . Vie de quartier animée hors confinement. 
74,04/02/2021,06,Ard,4.4,0,4,5,5,5,"Quartier très familial, plutôt sécurisé (surtout si on met de côté le fait que les manifestants adorent y passer). Nombreux parcs, nombreux commerces. Cependant, le quartier est assez cher. "
75,22/01/2022,06,Sherazade,3.6,3,4,2,2,3,"Les points positifs : Quartier magnifique avec le jardin du Luxembourg, Saint Sulpice, le quartier Saint-germain...
Beaucoup de magasins indépendants comme chaines avec la rue de Rennes.
Proche de Montparnasse et des cinémas, restaurants.
Beaucoup de Bus et ligne de métro 4/12 permettant de facilement rejoindre les autres arrondissements.

Les points négatifs : Quartier très cher à l'achat."
76,29/11/2021,06,charlotte,3.6,0,3,4,4,2,"Beau quartier assez varié, jardin du Luxembourg, st germain des prés, Odéon… très pratique et plus ou moins vivant selon la zone. Cependant vie chère mais cela s’applique à tout paris surtout vers le centre"
77,14/10/2021,06,Allan,3.4,1,2,5,5,1,"Beaucoup d'éléments culturels à portée de main, mais quartier avec quelques détritus, trottoirs assez étroits"
78,19/08/2021,06,Milo,4.8,4,5,5,5,5,"Les transports en commun sont nombreux et donc pratique mais pas de sécurité à l'intérieur, on ne se sent pas en sécurité. IL n'ya pas d'espaces verts on étouffe"
79,14/03/2021,06,Papa,4.4,0,5,4,4,4,"Quartier privilégié : école, culture, espaces verts. Seul point noir : très peu de logements à acheter et les 2 ou 3 pièces sont hors de prix à proximité des meilleures écoles."
80,09/03/2021,06,Clémentin,3.6,1,3,4,4,3,"Super cadre de vie, très agréable, beau quartier, superbe jardin du Luxembourg et de très beaux lycées. "
81,23/01/2021,06,delphine,3.4,5,2,3,3,4,"Le quartier vaut mieux et peut mieux faire en propreté et sécurité
l'environnement est toutefois agréable"
82,06/08/2021,07,Céline ,2.6,0,1,5,5,0,Beaucoup de tourisme donc la vie de quartier est mouvementé (positif et négatif car beaucoup de pickpockets et vendeurs à la sauvette) mais vie de quartier agréable quand on y vit
83,27/12/2021,07,gabiea,3,0,2,4,4,1,"Bien qu'un endroit très charment avec beaucoup d'animation, la sécurité est à revoir. En tant que femme je me sens très vite mal à l'aise à cause des sifflement et des remarque déplacer."
84,24/10/2021,07,johlineo,4,5,3,4,4,4,"Beaucoup de choses sont présentes pour la culture mais il subsite  encore trop d'insecurite.
beau monument!"
85,17/09/2021,07,François-Xavier,4.2,0,5,3,3,4,"Très beau et chaleureux, mais il y a beaucoup de monde. On peut aller à plusieurs attraction touristique très rapidement et même à la marche."
86,14/08/2021,07,Thomas,4,0,4,4,4,3,"Plusieurs commerces de proximité, nombreuses écoles réputées. 
Plus d’espaces verts seraient un atout. "
87,29/07/2021,07,Karine ,5,4,5,5,5,5,Très bonne environnement  je me sent en sécurité mais les rues sont pas très propre masques un peu partout dans la ville 
88,03/05/2021,07,cecile16,4.4,0,5,3,3,4,"Petite ville située près de Saint BONNET (plus connue) en montagne ou nous respirons mieux que lorsque j'habitais dans les BOUCHES DU RHONE ou j'ai eu 1 vie plus que trépidante,pas d'insultes,pas de violences,calme et repos la nuit assurés.Moins de pollution,beaucoup d'activités l'été, l'hiver.Lorsque mes enfants et petits-enfant viennent ils dorment 10 heures d'affilées. Pour les courses pas de tentation outre mesure,l'essentiel pour vivre.Le bonheur ,le ciel plus bleu,donc mois de pollution"
89,19/04/2021,07,Laetitia,2.6,0,2,4,4,2,"Très bel arrondissement mais trop de touristes (sauf en ce moment)
Beaucoup de restaurants et d’espaces verts/lieux en plein air (les quais de seine...)"
90,23/03/2021,07,oxyde,4.4,5,5,3,3,5,"Je trouve qu'il y a trop de bruits dans les rues, mais le quartier agréable avec ses commerces de proximité"
91,13/03/2021,07, pikpik27,4.2,0,4,3,3,4,"Arrondissement ou se trouvent les ambassades, sécurité, beauté, pratique. j'aime cette ville. il y fait bon vivre "
92,17/12/2020,07,M.,3,1,1,4,4,3,"Quartier agréable à vivre, avec de beaux bâtiments. Beaucoup d'immeubles administratifs et Ambassades donc très calme le week-end. Pas beaucoup d'offres culture et sport il faut prendre les transports mais sinon très pratique pour les autres commerces de proximité. Bonne offre de transport bus /métros / RER."
93,13/12/2020,07,Enzo,4,1,4,3,3,4,"J'ai un avis assez partagé. Beaucoup de choses pourraient être améliorées comme le verdissement, la sécurité, la propreté du métro. "
94,18/11/2020,07,M.,3.4,2,3,2,2,5,"Quartier très bien placé, privilégié calme et agréable.
Peu d'offres culture /sport mais beaucoup de commerces de proximité, une très bonne offre alimentation /pharmacies."
95,27/08/2021,08,Fido,4.6,0,5,4,4,4,"Quartier très pratique mais insécurité et nuisance sonore , je pense qu’il faut penser à plus de sécurité , plus de moyen de limiter les voitures et les rodéos , pour garder le charme et le luxe du quartier sinon les touristes étranger vont fuir et ne plus venir ."
96,13/02/2022,08,Fabrice,4.6,1,5,4,4,5,"LE quartier parisien de référence, tant pour les enfants que pour les adultes et également personnes âgées.
On s'y sent en sécurité, l'éducation en école est très bien, la quasi totalité des commerces sont larges, faciles d'accès donc pour les handicapés ou personnes âgées.
L'ambiance est plaisante, et les monuments historiques à proximité magnifiques.
Je recommande absolument, surtout en cette période d'insécurité totale en général."
97,10/02/2022,08,Zazou,3.2,1,3,4,4,3,"Quartier super vivant, tres acceuillant, beaucoup de boutique. Tres bien desservi parbles transport en commun , soit bis , soit metro... 
Rues propres"
98,20/01/2022,08,Lourdes,3.6,0,3,4,4,3,"Les aspects positifs sont le tourisme et le shopping . 
Les terrasses aussi sont magnifique , les monuments sont aussi incroyable . 
Cependant les aspects négatifs reste la pollution et l’insécurité. "
99,15/01/2022,08,medhy,3.2,5,2,4,4,3,"Positif : quartier cool , très culturel , bcp de commerces de proximité .
negatif : pas de parkings ."
100,02/01/2022,08,Julia,4.4,0,5,3,3,4,"Beaucoup d'activités et bonnes écoles mais sécurité pas top,
Beaucoup de bonnes adresses mais beaucoup de pollution "
101,19/12/2021,08,Morgane,2,0,1,3,3,1,"Quartier très calme avec tout à proximité. J'adore mon quartier! Supermarchés, boutiques, cinémas...Je peux accéder à tout à pied"
102,23/11/2021,08,lbl,3.8,5,3,4,4,3,Paris 8ème est un arrondissement avec très peu de commerce de bouche. il n'y a pas non plus d'espace vert
103,14/10/2021,08,marie laure,3.4,0,4,2,2,3,"Un peu trop de circulation et de pollution mais agréable en général, proche des commerces en transport ou a pied"
104,11/09/2021,08,gwendolyne,3.6,1,5,3,3,3,"Positifs arrondissement sur. beaucoup de transports bus et autres trés accéssibles belle architecture parcs très agréables. Arrondissement qui acceuille environ 200 000 personnes par jour qui viennent travailler dans les bureaux. très calmes le weekend 
negatifs propreté qui laisse à désirer urine dans la rue déjections de chien ."
105,05/09/2021,08,GWEN,3.8,4,4,4,4,2,"Un peu difficile de trouver des options pour manger qui ne soient pas à un prix prohibitifs, mais sinon ca va "
106,02/08/2021,08,Anthony ,3.2,0,3,3,3,3,"Joli quartier.. Pas grand chose à dire
Beaucoup de commerce, transport en commun facile.
Juste beaucoup de sdf a pris st lazare"
107,15/06/2021,08,GRIZ,3.6,0,4,4,4,3,"MANQUE DE DYNAMISME POUR LES RETRAITES ET ENFANTS, MANQUE EGALEMENT DE COINS DE VERDURE, ET COMMERCES PEU AIMABLE"
108,14/06/2021,08,marie,4.4,4,4,5,5,4,"Les rue sont très propre, c'est un quartier vivant, cependant au alentours de la gare des gens malfamés trainent"
109,10/06/2021,08,Patrice,3.2,0,2,4,4,3,"Belle ville, malheureusement assez polué, qui n'a pas encore d'engagement écologique, mais qui plait au habitants notamment grâce à ses patrimoines et monuments."
110,21/04/2021,08,laurette,3.4,0,2,4,4,4,"Ville la plus belle au monde avec des monuments des parcs des cultures magiques 
Une ville que tous le monde devrais voir"
111,16/02/2021,08,mahdi,4.6,3,5,4,4,5,Paris a changer plus d agression de clochard et drogué malheureusement faut dire la vérité la ville de paris a bien changé depuis toute c est année 
112,19/04/2020,08,Un mec,4,1,3,4,4,5,"Arrondissement très jolie et agréable avec une architecture magnifique,hyper dynamique avec énormément de commerce et de transport en commun."
113,16/02/2021,09,cindy,3,0,3,3,3,3,"Très vivant et active. ayant travailler plus de 15 ans a paris, j'adorais la période des fêtes tout été illuminées "
114,29/01/2022,09,Mathis,4.2,2,4,4,4,4,"Ville trop pollué, dégradation au niveau de certaine grande ville, la propreté n'est pas de rigueur en fait je préfère habité dans un petit village la au moins c'est entretenu."
115,12/12/2021,09,Chkoupi,1.6,0,1,1,1,1,"Transports à proximité, tous types de commerces ouverts tous les jours, cinémas, restaurants et bars, quarter animé et convivial"
116,01/12/2021,09,rhaminou,3,0,3,2,2,3,"Point positif: si beaucoup d'argent dans le foyer, la vie peut être belle

point negatif:
très difficile si pas beaucoup d'argent"
117,11/11/2021,09,Sylvain,5,5,5,5,5,5,"................................................................
.................................. "
118,17/10/2021,09,Carlos,5,0,5,5,5,5,Quartier et arrondissement très agréables à vivre ! On se croirait dans un petit village. J'ai souvent la sensation des vivre dans un moment hors du temps.
119,09/10/2021,09,Alisson,4.2,0,4,4,4,4,"Mon quartier est paisible, propre, pratique pour les commerces alentours. J'aime mon quartier, il est au top ! "
120,29/09/2021,09,Paul,4.4,3,4,5,5,4,Il s'agit d'un quartier très agréable à vivre. Le seul bémol est qu'il n'est pas très grand et très peuplé !
121,11/08/2021,09,ff6,2.6,0,3,3,3,1,"Quartier central de paris, très bien desservie par les transports en communs, nombreuse écoles. Beaucoup de salles de concert/théâtre. Le seul bémol les espace verts pas assez nombreux."
122,07/08/2021,09,Vilaysouk ,4,0,5,3,3,4,"Aspects positifs : les grandes écoles m, les transports en communs, les sorties

Aspects négatifs : la pollution, le prix des loyers "
123,19/05/2021,09,Elodie,0.4,5,0,0,0,0,"Il fait bon vivre dans le 9eme, je n’ai jamais eu de soucis en terme de sécurité, il y a beaucoup de magasins et les transports en commun sont parfait. Seul bémol, plus le temps passe et moins il y a de stationnement pour voiture, ça devient un casse tête et un stress permanent !"
124,14/04/2021,09,pascallaurent,4.4,0,5,3,3,4,"Ville sale, dangereuse avec de moins en de bus , à cause des corona pistes, et de moins en de commerces avec la crise provoqué par la covid"
125,28/03/2021,09,Nissa,3.8,0,4,4,4,3,"Quartier idéal pour les familles, riche en activités et culture et très propre, beaucoup de restaurant, de commerces de bouches mais très cher !!!"
126,24/02/2021,09,natkey,3.8,2,3,4,4,4,"Mon quartier est tres interessant ,il y regne le calme et la temperance.Biensur chaque quartier a ses aspects negatifs"
127,07/02/2021,09,alexmoul,3.2,0,3,3,3,4,"Les grands magasins, Printemps, citadium, fnac ... top pour trouver un cadeaux ou ce faire plaisir vivement les soldes"
128,15/01/2021,09,Hildwin,1.6,0,0,2,2,0,"Arrondissement de Paris vivant, bars restaus boutiques, tout ce qu'il faut, et assez familial. De plus, c'est un beau quartier"
129,09/09/2021,10,Jean-Christophe,3.8,2,5,3,3,3,"C'était vraiment mieux avant, Paris décline de jours en jours parce que si mal géré, si sale, si insécure et en prime, si cher !"
130,01/03/2022,10,Claude,3.4,0,3,3,3,3,Beaucoup de potentiel                                                                                                                                       
131,01/03/2022,10,Natacha,3.6,0,3,4,4,2,"Beaucoup de commerces bars et restaurants. 
Il n’y a pas besoin de « sortir du quartier » pour ces éléments la. 
Par contre, très peu d’espaces verts, le quartier n’est pas très sécurisé, peu d’infrastructures pour faire du sport.... "
132,28/02/2022,10,Dodong,4,0,3,5,5,4, les point positif sont que c'est un quartier vivant et commerçant les point négatifs sont que le quartier est pollué par les voitures et des fois bruyant 
133,22/02/2022,10,Camille,3.6,0,4,4,4,2,"J’habite entre le quartier bobo du canal Saint-Martin, et le quartier populaire chinois de Belleville, au niveau de l’hôpital Saint Louis, je m’y plais."
134,06/02/2022,10,Ophélia,4.2,3,5,3,3,4,Aucun commentaires il n'y a pas grand chose à dire il faut voir pour l'environnement améliorer les piste cyclabes des places pour vélo moto et trotinette
135,01/02/2022,10,Joel,3.2,0,3,3,3,2,"Super quartier avec de superbes marches comme si cette arrondissement était un gros village 
Un superbe état d esprit des commerçants et de tous les acteurs de la culture "
136,30/11/2021,10,benj168,4.4,0,2,5,5,5,"Bien cool ce quartier, je suis heureux de bien le connaitre.
pas mal de chose on changer en 20 ans, mais son âme est toujours là"
137,27/11/2021,10,Severine ,3.8,4,2,4,4,3,"Un peu plus de sécurité serait bien car certain quartier reste sensible comme à stalingrad. 
Autrement ça reste un arrondissement très agréable les écoles sont très bien. "
138,05/09/2021,10,s8400,2.4,0,2,3,3,1,Ville avec une richesse culturelle énorme.  La facilité des transports grâce au métro est très agréable 
139,03/09/2021,10,lidia,1.8,0,1,3,3,1,"Ville sale et polluée 
architecture magnifique, la ville des lumières et des amoureux par excellence"
140,17/08/2021,10,Sabria ,1.2,2,0,0,0,0,"Trop sale. Trop de voie unique concernant les voitures. Trop de voleurs. Ville bruyante.
Commerce cher"
